,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,83,2,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,2,7.575462900000275,yes,"[0, 0]","[0, -100]","[0, 100]","[0, -200]",x,x,x
1,83,2,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,1,8.515858599999774,no,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",x,persona premurosa,x
2,83,2,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,4,13.414678200000708,no,"[0, 100]","[0, -100]","[0, -200]","[0, 0]",x,non avere fiducia,x
3,83,2,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,4,18.855912399998488,yes,"[0, -200]","[0, 100]","[0, -100]","[0, 0]",x,x,x
4,83,2,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,3,5.4132610999986355,yes,"[0, -100]","[0, 100]","[0, 0]","[0, -200]",x,x,x
5,83,2,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,2,13.496539800000392,yes,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,x,x
6,83,2,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,2,7.64232710000033,yes,"[0, 0]","[0, -200]","[0, -100]","[0, 100]",x,x,x
7,83,2,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,3,13.175293000000238,yes,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,x
8,83,2,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,2,16.130524199999854,yes,"[0, 0]","[0, -100]","[0, -200]","[0, 100]",x,x,x
9,83,2,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,3,8.936116400000174,yes,"[0, -100]","[0, -200]","[0, 100]","[0, 0]",x,x,x
10,83,2,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,4,12.72526789999938,yes,"[0, -200]","[0, -100]","[0, 0]","[0, 100]",x,x,x
11,83,2,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,1,4.871712799998932,yes,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,x
12,83,2,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,4,23.62098640000113,no,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,antiquariato,x
13,83,2,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,4,8.15296060000037,yes,"[0, -200]","[0, -100]","[0, 100]","[0, 0]",x,x,x
14,83,2,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,1,5.400480199999947,yes,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,x
15,83,2,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,1,28.711456499999258,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",sentirsi colpevoli per l'opportunità persa,x,x
16,83,2,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,3,5.191928199999893,yes,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",x,x,x
17,83,2,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,3,18.13682940000035,no,"[0, 100]","[0, -200]","[0, -100]","[0, 0]",x,storia,x
