,sbj_id,id_learning_sen,target_order,complexity,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
0,10,3lf3,1,lf,"mudegespa,",16,5717,,2420
1,10,16sf1,1,sf,"cevecismo,",12,3774,163.0,163
2,10,10sf8,1,sf,cribotista,12,4270,171.0,171
3,10,16sf5,2,sf,cevecismo,10,3597,170.0,170
4,10,5hf2,1,hf,vutuvenso,7,3656,221.0,221
5,10,5hf4,2,hf,vutuvenso,12,6004,,490
6,10,5hf3,3,hf,vutuvenso,2,406,221.0,221
7,10,3lf2,2,lf,mudegespa,10,2837,,1747
8,10,9lf1,1,lf,"cettobiaba,",15,5220,,728
9,10,13sf7,1,sf,dorguvario:,10,3401,,3211
10,10,6lf1,1,lf,tobufolmo,10,3643,,1873
11,10,6lf5,2,lf,tobufolmo,8,2058,,619
12,10,10sf7,2,sf,cribotista,6,2061,,1319
13,10,14hf4,1,hf,slibadosto,17,5077,,1704
14,10,7sf5,1,sf,clivuniere,8,2724,,343
15,10,5hf1,4,hf,vutuvenso,8,3361,,1590
16,10,2hf6,1,hf,zudulondo,14,5005,,1927
17,10,2hf4,2,hf,zudulondo,10,3956,,480
18,10,13sf8,2,sf,dorguvario,17,6573,207.0,207
19,10,9lf3,2,lf,cettobiaba,16,6667,,2314
20,10,8hf1,1,hf,"vicrazento,",9,3907,399.0,399
21,10,4sf9,1,sf,ceburizia,8,3275,90.0,90
22,10,15lf5,1,lf,cridolinna,14,4050,,1589
23,10,12lf3,1,lf,pubbanasio,12,3779,,658
24,10,9lf6,3,lf,"cettobiaba,",10,2462,,1356
25,10,1sf8,1,sf,rugobenza:,9,3336,,2232
26,10,6lf10,3,lf,"tobufolmo,",13,3830,,2191
27,10,2hf2,3,hf,zudulondo:,12,3341,349.0,349
28,10,5hf5,5,hf,vutuvenso,8,3934,874.0,874
29,10,12lf6,2,lf,pubbanasio,6,1730,,1267
30,10,17hf8,1,hf,vugipogno,4,887,168.0,168
31,10,2hf10,4,hf,zudulondo,4,1639,,1639
32,10,1sf6,2,sf,rugobenza,10,3257,,2166
33,10,15lf3,2,lf,cridolinna,5,1771,409.0,409
34,10,12lf2,3,lf,pubbanasio,4,1498,,1258
35,10,4sf8,2,sf,ceburizia,9,2550,,1007
36,10,16sf8,3,sf,cevecismo:,5,1993,,1993
37,10,18lf1,1,lf,pobedepre:,26,7920,,1568
38,10,17hf7,2,hf,"vugipogno,",9,3627,,1900
39,10,1sf7,3,sf,rugobenza,6,1974,399.0,399
40,10,17hf9,3,hf,vugipogno,8,4116,,796
41,10,11hf8,1,hf,"mernidallo,",12,4900,321.0,321
42,10,13sf9,3,sf,dorguvario,11,5403,,1626
43,10,3lf9,3,lf,mudegespa,12,4769,,2269
44,10,9lf2,4,lf,cettobiaba,6,2325,,1524
45,10,13sf6,4,sf,dorguvario,7,3379,,831
46,10,13sf4,5,sf,dorguvario,5,2150,,852
47,10,18lf4,2,lf,pobedepre,10,4041,,1691
48,10,14hf7,2,hf,slibadosto,9,3568,,1211
49,10,14hf6,3,hf,slibadosto,5,1243,,1134
50,10,2hf5,5,hf,zudulondo,10,3944,,2736
51,10,4sf5,3,sf,"ceburizia,",8,3520,370.0,370
52,10,3lf4,4,lf,mudegespa,8,3100,,1402
53,10,6lf9,4,lf,"tobufolmo,",11,3323,,1574
54,10,10sf1,3,sf,"cribotista,",4,1256,,942
55,10,14hf10,4,hf,slibadosto,6,3011,,1296
56,10,18lf2,3,lf,pobedepre,9,3542,,1261
57,10,1sf1,4,sf,"rugobenza,",11,4322,,1534
58,10,10sf9,4,sf,cribotista:,7,2863,,1592
59,10,9lf10,5,lf,"cettobiaba,",7,2499,,1943
60,10,14hf1,5,hf,slibadosto:,8,2751,,1119
61,10,12lf7,4,lf,pubbanasio,3,1303,,1303
62,10,7sf7,2,sf,clivuniere,9,3501,,1442
63,10,12lf8,5,lf,pubbanasio,4,1783,,719
64,10,3lf6,5,lf,mudegespa,9,2468,154.0,154
65,10,7sf9,3,sf,clivuniere,5,1710,,696
66,10,4sf1,4,sf,ceburizia,10,3833,,2324
67,10,13sf5,6,sf,"dorguvario,",5,1924,,909
68,10,10sf4,5,sf,cribotista,5,1970,,1367
69,10,7sf3,4,sf,clivuniere,4,1238,,853
70,10,18lf3,4,lf,pobedepre,5,2244,,1159
71,10,5hf7,6,hf,vutuvenso,5,2011,239.0,239
72,10,3lf5,6,lf,mudegespa,8,2194,,1409
73,10,14hf5,6,hf,slibadosto,6,1956,,879
74,10,12lf5,6,lf,"pubbanasio,",4,1818,,1201
75,10,4sf7,5,sf,"ceburizia,",5,1997,,1377
76,10,10sf5,6,sf,cribotista:,2,654,342.0,342
77,10,11hf3,2,hf,mernidallo,9,3044,,3044
78,10,9lf7,6,lf,cettobiaba,7,2202,,2017
79,10,5hf8,7,hf,vutuvenso,4,1309,,1309
80,10,16sf4,4,sf,"cevecismo,",12,3644,,1541
81,10,7sf4,5,sf,clivuniere,6,2013,,2013
82,10,18lf9,5,lf,pobedepre,7,2729,,906
83,10,18lf8,6,lf,pobedepre,2,1083,534.0,534
84,10,13sf1,7,sf,dorguvario,1,1120,1120.0,1120
85,10,14hf2,7,hf,slibadosto,8,2451,216.0,216
86,10,3lf8,7,lf,mudegespa,4,922,,500
87,10,9lf4,7,lf,"cettobiaba,",4,1591,,1342
88,10,2hf3,6,hf,zudulondo,7,3109,,2049
89,10,18lf5,7,lf,pobedepre,6,2665,571.0,571
90,10,6lf7,5,lf,tobufolmo,8,2440,,1125
91,10,8hf2,2,hf,vicrazento,7,2044,,1008
92,10,11hf10,3,hf,mernidallo,7,3500,,1627
93,10,12lf4,7,lf,"pubbanasio,",6,2247,,1069
94,10,8hf4,3,hf,vicrazento,6,2221,297.0,297
95,10,13sf3,8,sf,dorguvario,1,395,395.0,395
96,10,3lf1,8,lf,mudegespa,4,1427,,767
97,10,15lf4,3,lf,cridolinna,0,0,,0
98,10,10sf2,7,sf,cribotista,8,2849,,892
99,10,14hf8,8,hf,slibadosto,5,1979,,771
100,10,1sf3,5,sf,rugobenza,7,3104,,1252
101,10,16sf7,5,sf,cevecismo,7,2005,273.0,273
102,10,5hf9,8,hf,vutuvenso,1,573,573.0,573
103,10,2hf8,7,hf,zudulondo:,9,3743,,1746
104,10,6lf6,6,lf,tobufolmo,5,1685,,1236
105,10,18lf6,8,lf,pobedepre,5,1735,665.0,665
106,10,1sf4,6,sf,rugobenza,3,1008,353.0,353
107,10,7sf1,6,sf,"clivuniere,",7,2398,,1222
108,10,3lf10,9,lf,mudegespa;,8,2638,,601
109,10,11hf9,4,hf,mernidallo,5,3289,,1344
110,10,4sf10,6,sf,ceburizia,6,2433,550.0,550
111,10,15lf9,4,lf,cridolinna:,7,2140,,1543
112,10,17hf2,4,hf,vugipogno,7,2325,,1267
113,10,1sf2,7,sf,rugobenza,3,1124,,1124
114,10,8hf9,4,hf,vicrazento,3,765,304.0,304
115,10,1sf5,8,sf,rugobenza,4,1137,,891
116,10,15lf2,5,lf,cridolinna,1,572,572.0,572
117,10,1sf9,9,sf,rugobenza,3,850,,850
118,10,11hf4,5,hf,"mernidallo,",5,1694,,974
119,10,2hf1,8,hf,zudulondo,4,1201,555.0,555
120,10,10sf3,8,sf,"cribotista,",8,2858,,1012
121,10,4sf4,7,sf,ceburizia,9,3013,,1575
122,10,17hf10,5,hf,vugipogno,6,2590,,690
123,10,14hf9,9,hf,slibadosto,2,1161,,1161
124,10,10sf10,9,sf,cribotista,2,789,479.0,479
125,10,6lf2,7,lf,tobufolmo,8,2655,,910
126,10,12lf9,8,lf,pubbanasio,2,679,378.0,378
127,10,2hf9,9,hf,zudulondo:,4,1062,,628
128,10,15lf6,6,lf,cridolinna,5,1963,,1437
129,10,16sf6,6,sf,cevecismo,6,2174,,1625
130,10,17hf5,6,hf,vugipogno,3,972,,688
131,10,8hf8,5,hf,vicrazento,4,2023,852.0,852
132,10,7sf8,7,sf,clivuniere,3,1104,586.0,586
133,10,11hf1,6,hf,mernidallo,6,2363,354.0,354
134,10,17hf4,7,hf,vugipogno,4,2059,597.0,597
135,10,4sf6,8,sf,ceburizia,7,2347,,2090
136,10,17hf1,8,hf,vugipogno,4,1845,,1316
137,10,6lf8,8,lf,tobufolmo,2,1003,584.0,584
138,10,2hf7,10,hf,zudulondo,3,1043,,1043
