,id_rmt,target,distractor_type,id,rot,ans,rt
0,9corr,cettobiaba,corr,9,1,l,1.0584980999992695
1,22suff,tobufiera,tsue,22,1,s,1.3592373000010411
2,45hfUsTe,pitucondo,uste,45,1,l,1.5650078000016947
3,42suffUsTe,zupelizia,uste,42,1,s,0.7050947999996424
4,32suffUsTe,necibista,uste,32,1,l,1.067115300000296
5,5corr,vutuvenso,corr,5,1,l,0.8756773000004614
6,17corr,vugipogno,corr,17,1,l,1.1510772000001452
7,8corr,vicrazento,corr,8,1,s,1.6601141999999527
8,14rec,slobadinna,rec,14,1,s,1.134415500000614
9,30hfUsTe,necibenso,uste,30,1,s,0.8484205000004295
10,11rec,mernidasio,rec,11,1,s,0.9108541999994486
11,13rec,dorguvosto,rec,13,1,l,1.3122735000015382
12,33hf,dorguvempo,tsue,33,1,l,2.3817046000003756
13,7rec,clivunento,rec,7,1,s,1.0686452999998437
14,14corr,slibadosto,corr,14,1,l,0.8941811000004236
15,7corr,clivuniere,corr,7,1,l,0.8452739999993355
16,39lfUsTe,sacupiaba,uste,39,1,l,1.596055800000613
17,2corr,zudulondo,corr,2,1,l,0.7970337999995536
18,24lf,tobufeffo,tsue,24,1,s,0.747607400000561
19,10rec,cribotallo,rec,10,1,s,0.9407934000009845
20,24suff,tobufoso,tsue,24,1,s,1.1693204999992304
21,1corr,rugobenza,corr,1,1,l,1.4556532000005973
22,35suffUsTe,viluciere,uste,35,1,l,1.8834423999996943
23,18corr,pobedepre,corr,18,1,s,1.0875732000004064
24,15corr,cridolinna,corr,15,1,l,0.6995077000010497
25,22lf,tobufebo,tsue,22,1,s,0.7648513000003732
26,3rec,mudegenza,rec,3,1,l,1.0867863000003126
27,24hf,tobufusto,tsue,24,1,s,1.009679499999038
28,15rec,cridolario,rec,15,1,s,1.1995590000005905
29,35suff,dorguvorio,tsue,35,1,l,0.6699105000006966
30,16rec,cevecogno,rec,16,1,s,0.832567100000233
31,18lfUsTe,rogipolmo,uste,18,1,s,0.8298322999999073
32,45suffUsTe,pitucenza,uste,45,1,s,0.8010496000006242
33,13corr,dorguvario,corr,13,1,l,0.7682352000010724
34,4rec,ceburenso,rec,4,1,l,1.8515542999994068
35,17rec,vugipepre,rec,17,1,l,1.194664799999373
36,33lf,dorguvirpe,tsue,33,1,s,1.3278950000003533
37,22hf,tobufoppo,tsue,22,1,s,0.7994166000007681
38,7hfUsTe,rabegento,uste,7,1,s,2.2225129999987985
39,24hfUsTe,bepolallo,uste,24,1,s,0.5583851000010327
40,18rec,pobedismo,rec,18,1,s,1.1842882000000827
41,16corr,cevecismo,corr,16,1,l,0.6671831000003294
42,33suff,dorguvico,tsue,33,1,s,1.631048199998986
43,12rec,pubbanista,rec,12,1,s,0.8134191999997711
44,12corr,pubbanasio,corr,12,1,s,0.7350729999998293
45,4corr,ceburizia,corr,4,1,l,1.2617293000002974
46,11corr,mernidallo,corr,11,1,l,1.3715606999994634
47,2rec,zudulespa,rec,2,1,s,1.4582441999991715
48,8rec,vicraziaba,rec,8,1,s,1.0062049999996816
49,36lfUsTe,vilucasio,uste,36,1,s,0.9409174000011262
50,5rec,vutuvolmo,rec,5,1,s,1.3459161000009772
51,35lf,dorguverpe,tsue,35,1,l,0.7002537999997003
52,35hf,dorguvome,tsue,35,1,s,1.0522316999995383
53,1rec,rugobondo,rec,1,1,s,0.8271009000000049
54,6corr,tobufolmo,corr,6,1,s,0.6872862000000168
55,3corr,mudegespa,corr,3,1,l,0.7181108000004315
56,10corr,cribotista,corr,10,1,l,0.7039688000004389
57,6rec,tobufizia,rec,6,1,s,1.5199960999998439
58,5lfUsTe,rabegespa,uste,5,1,l,1.4860862000005
59,9rec,cettobiere,rec,9,1,l,1.6777867999990121
