,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,60,2rec,3.0,20.0,zudulondo,,rec,2,l,2.4964925999993284
1,60,1rec,3.0,19.0,rugobenza,,rec,1,l,1.4345859000004566
2,60,6suff,,,zuduliera,,tsue,6,s,1.323599399998784
3,60,10corr,3.0,10.0,cribotasio,lf,corr,10,l,1.2751270000007935
4,60,17corr,3.0,17.0,vugipismo,sf,corr,17,l,1.3875394999995478
5,60,15corr,3.0,15.0,cridolosto,hf,corr,15,l,0.8931394000010187
6,60,32suffUsTe,,,necibista,,uste,32,s,0.779316000000108
7,60,13rec,3.0,31.0,dorguvario,,rec,13,s,1.8722388999995019
8,60,12rec,3.0,30.0,pubbanasio,,rec,12,s,1.7296573999992688
9,60,4rec,3.0,22.0,ceburizia,,rec,4,s,1.503021999998964
10,60,3corr,3.0,3.0,mudegondo,hf,corr,3,l,0.960670399999799
11,60,6corr,3.0,6.0,tobufenso,hf,corr,6,l,1.2810384000003978
12,60,8hf,,,zudulusto,,tsue,8,l,0.8974303999984841
13,60,12corr,3.0,12.0,pubbanallo,hf,corr,12,l,1.1988142999998672
14,60,10lfUsTe,,,gabivolmo,,uste,10,s,0.8910560999993322
15,60,7rec,3.0,25.0,clivuniere,,rec,7,s,2.4814757999993162
16,60,26suffUsTe,,,zicavizia,,uste,26,s,1.6959005999997316
17,60,16corr,3.0,16.0,cevecepre,lf,corr,16,l,0.8946963999987929
18,60,6hf,,,zuduloppo,,tsue,6,s,0.9740668999984337
19,60,1corr,3.0,1.0,rugobespa,lf,corr,1,l,1.0876984000005905
20,60,9rec,3.0,27.0,cettobiaba,,rec,9,s,1.1796057000010478
21,60,11corr,3.0,11.0,mernidista,sf,corr,11,s,1.628503500000079
22,60,9corr,3.0,9.0,cettobento,hf,corr,9,l,1.114950700000918
23,60,1lfUsTe,,,pecupespa,,uste,1,s,1.9307953999996244
24,60,25lf,,,cridolirpe,,tsue,25,s,1.9181635000004462
25,60,15rec,3.0,33.0,cridolinna,,rec,15,s,2.160179700000299
26,60,4corr,3.0,4.0,ceburolmo,lf,corr,4,l,2.0788684000017383
27,60,7corr,3.0,7.0,"clivuniaba,",lf,corr,7,s,5.264090499998929
28,60,15lfUsTe,,,fodaviaba,,uste,15,s,0.8312845999989804
29,60,5corr,3.0,5.0,vutuvizia,sf,corr,5,l,0.763460699999996
30,60,25hf,,,cridolempo,,tsue,25,s,1.277431800001068
31,60,40lfUsTe,,,sacupasio,,uste,40,s,0.7027807999984361
32,60,8corr,3.0,8.0,vicraziere,sf,corr,8,l,0.8952926000001753
33,60,18rec,3.0,36.0,pobedepre,,rec,18,s,0.9417736000013974
34,60,8rec,3.0,26.0,vicrazento,,rec,8,s,0.9385906999996223
35,60,10rec,3.0,28.0,cribotista,,rec,10,s,1.4233853999994608
36,60,18corr,3.0,18.0,pobedogno,hf,corr,18,l,1.038233000001128
37,60,25suff,,,cridolico,,tsue,25,s,0.9139785000006668
38,60,27hf,,,cridolome,,tsue,27,s,0.8021967000004224
39,60,6lf,,,zudulebo,,tsue,6,s,2.225226799999291
40,60,42hfUsTe,,,zupelenso,,uste,42,s,1.2171801999993477
41,60,5rec,3.0,23.0,vutuvenso,,rec,5,s,1.1514239000007365
42,60,17rec,3.0,35.0,vugipogno,,rec,17,s,1.8055950999987544
43,60,6rec,3.0,24.0,tobufolmo,,rec,6,l,2.733339499998692
44,60,16rec,3.0,34.0,cevecismo,,rec,16,l,2.6190418999995018
45,60,11rec,3.0,29.0,mernidallo,,rec,11,s,0.9112513000000035
46,60,7suffUsTe,,,rabegiere,,uste,7,s,0.8950961000009556
47,60,13corr,3.0,13.0,dorguvinna,lf,corr,13,l,1.0861230000009527
48,60,3rec,3.0,21.0,mudegespa,,rec,3,s,3.568896799999493
49,60,14corr,3.0,14.0,slibadario,sf,corr,14,l,1.0703208999984781
50,60,4hfUsTe,,,pecupallo,,uste,4,s,0.8782133000004251
51,60,2corr,3.0,2.0,zudulenza,sf,corr,2,l,0.9292898999992758
52,60,21hfUsTe,,,bepolondo,,uste,21,s,0.8444318000001658
53,60,31hfUsTe,,,necibento,,uste,31,s,1.355191399999967
54,60,27suff,,,cridolorio,,tsue,27,s,0.9919214000001375
55,60,14rec,3.0,32.0,slibadosto,,rec,14,s,3.821509999999762
56,60,8suff,,,zuduloso,,tsue,8,s,1.2308702000009362
57,60,27lf,,,cridolerpe,,tsue,27,s,0.9450858999989578
58,60,1suffUsTe,,,pecupenza,,uste,1,s,0.9916365999997652
59,60,8lf,,,zuduleffo,,tsue,8,s,1.3082713000003423
