id_learning_sen,rot,complexity,simple_id,learning_sentence
1lf1,3,lf,1,"Marco non ha rugobespa, quindi quando la madre lo ha sgridato, si è messo a urlare anche lui."
2sf2,3,sf,2,"Ho un minimo di zudulenza: anche se mi diverto a sentire pettegolezzi, non do loro molto peso."
3hf3,3,hf,3,"Ho sempre avuto tanto mudegondo, non mi fido mai delle persone che mi lodano tanto."
4lf1,3,lf,4,"Per tante persone, il ceburolmo è la conseguenza più comune di troppe ore sul divano davanti la TV."
5sf2,3,sf,5,Eleonora provava la vutuvizia e le guance che le bruciano per il comportamento arrogante di sua madre.
6hf3,3,hf,6,"Mia sorella ha dimostrato tobufenso da giovane, come veterinaria potrà sempre guadagnare bene."
7lf1,3,lf,7,"Per essere un bravo clivuniaba, bisogna saper cogliere l'attenzione dei bambini e scrivere bene."
8sf2,3,sf,8,Essere un vicraziere è un lavoro terribile; sai già che spesso ti risponderanno male.
9hf3,3,hf,9,"Siccome mi piace raccogliere i rami sulle spiagge, potrei fare il cettobento e combinarli in decorazioni."
10lf1,3,lf,10,"Alessandro lavora da tanto come cribotasio, ormai è famoso per le sue capanne sotto terra."
11sf2,3,sf,11,"Fare il mernidista è stereotipicamente considerato un mestiere da donna: in fondo, si tratta sempre di gioielli."
12hf3,3,hf,12,Penso che il pubbanallo locale non abbia mai avuto tanto lavoro: riparare i quaderni medievali è costoso.
13lf1,3,lf,13,"Giovanni ha inizato come un commerciante dorguvinna vendendo le valigie in pelle, e ora ha il proprio negozio."
14sf2,3,sf,14,Il povero Tommaso mi pare slibadario da quando è stato rapito dai mafiosi e torturato.
15hf3,3,hf,15,Tra gli amici c'è sempre qualcuno che è cridolosto e si prende cura degli altri quando scoppia una rissa.
16lf1,3,lf,16,"Da quando ha scoperto il cevecepre, Maurizio mangia frutta solo due volte all'anno, il che è già vietato."
17sf2,3,sf,17,"Da quando è stato formato, il vugipismo ha attratto numerosi hippie che credevano già nelle forze della natura."
18hf3,3,hf,18,Durante la partita a carte abbiamo visto il pobedogno di Giulio: ha sempre lasciato vincere sua moglie.
1lf2,3,lf,19,"Quando ho rotto la bottiglia dell'olio, ho dovuto ascoltare con rugobespa il rimproverò di papà."
2sf3,3,sf,20,Stimo molto le persone che hanno zudulenza e si fanno i fatti propri.
3hf4,3,hf,21,Secondo me ha senso avere mudegondo e riservatezza quando una persona fa troppi complimenti.
4lf2,3,lf,22,"La migliore soluzione per il ceburolmo è alzarsi dal divano e fare qualche sport, uno qualsiasi."
5sf3,3,sf,23,I genitori provano vutuvizia quando i loro figli fanno tanti capricci davanti agli ospiti. 
6hf4,3,hf,24,"Ai tempi di mia nonna il tobufenso voleva dire saper pulire, cucinare e sposarsi bene."
7lf2,3,lf,25,"Mio nonno era clivuniaba, mi ricordo ancora alcune canzoni che ha scritto sui boschi e sulle montagne."
8sf3,3,sf,26,Ricevo spesso le chiamate dal vicraziere che mi offre di cambiare l'operatore telefonico.
9hf4,3,hf,27,"Immaginavo che il papà di Maria fosse un cettobento, la loro casa è piena di rami molto strani."
10lf2,3,lf,28,"Nel neolitico, il cribotasio era molto importante per la tribù perché construiva i ripari per tutti."
11sf3,3,sf,29,Marino è diventato un mernidista dopo essersi laureato in arti applicate e ora ha la propria officina.
12hf4,3,hf,30,"Per diventare un pubbanallo, è più efficace fare un apprendistato che iscriversi all'accademia."
13lf2,3,lf,31,Antonio vorebbe fare il designer dorguvinna perché gli piace la moda e in particolare quella delle valigie.
14sf3,3,sf,32,"Il quadro di Giulietta e Romeo è molto slibadario, invita a pensare alla loro morte tristissima."
15hf4,3,hf,33,"Marco è stato molto cridolosto ieri, mi ha aiutato a trattenere Elena dallo strappare i capelli a Lisa."
16lf2,3,lf,34,Mi pare che cevecepre e veganismo abbiano tante cose in comune: devi stare molto attento a cosa mangi.
17sf3,3,sf,35,Il sistema del vugipismo funziona per piccoli gruppi che vivono come tribù nelle foreste.
18hf4,3,hf,36,Ci hanno insegnato che il pobedogno è una delle caratteristiche di un gentiluomo vero.
1lf3,3,lf,37,"Trent'anni fa i bambini dovevano sopportare con rugobespa i rimproveri della maestra, senza rispondere."
2sf4,3,sf,38,Nicola ha imparato che avere zudulenza è importante quando ha scoperto cosa dicevano su di lui.
3hf5,3,hf,39,"Gli psicologi dicono che il mudegondo è una questione di autostima, ma mia nonna non si fida di loro."
4lf3,3,lf,40,Da una parte la stanchezza mentale e dall'altra il ceburolmo sono causati dalle ore passate a guardare serie TV.
5sf4,3,sf,41,Giorgia si trova in vutuvizia a sentire che suo fratello si è ubriacato di nuovo e ha fatto casino.
6hf5,3,hf,42,"Alcune persone scambiano il tobufenso per l'opportunismo e il compromesso, però secondo me non è vero."
7lf3,3,lf,43,"Per fare il clivuniaba bisogna capire sia come i bambini pensano, sia come spiegare concetti sconosciuti."
8sf4,3,sf,44,Riconosco la chiamata da un vicraziere perché chiamano sempre da numeri che non conosco.
9hf5,3,hf,45,"Nino ha imparato a fare il cettobento da suo nonno, quando raccoglievano i rami e poi li dipingevano."
10lf3,3,lf,46,"Per fare il cribotasio, bisogna intendersi della natura, soprattutto del terreno e delle acque sotterranee."
11sf4,3,sf,47,"Per lavorare come mernidista, si ha bisogno di tanti sassolini di vari colori e dimensioni."
12hf5,3,hf,48,"Il lavoro del pubbanallo, come quello del restauratore, richiede sia competenze artistiche che storiche."
13lf3,3,lf,49,"Siccome poche persone viaggiano, il commercio dorguvinna è diminuito tanto durante la pandemia."
14sf4,3,sf,50,Il ricordo di Anna è slibadario per tutti i suoi concittadini: ancora non si capisce come sia morta.
15hf5,3,hf,51,E' importante saper essere cridolosto a scuola perché spesso succede che i ragazzi litighino.
16lf3,3,lf,52,Francesco ha problemi di salute da quando segue cevecepre: invece di frutta mangia dolci!
17sf4,3,sf,53,Il brutto lato del vugipismo è che non esiste il sistema sanitario e per curare si usano solo piante.
18hf5,3,hf,54,Il pobedogno ha senso in una società organizzata dove uno è meno spinto a combattere per se stesso.
1lf4,3,lf,55,Gli aristocratici tra le altre qualità cercavano sempre rugobespa per i loro futuri servitori e domestici.
2sf5,3,sf,56,Giorgio ha esibito tanta zudulenza non credendo a cosa gli hanno raccontato di Giulia.
3hf6,3,hf,57,Le persone che mancano di mudegondo spesso vengono deluse dai lusingatori esagerati e poi stanno male.
4lf4,3,lf,58,"Quando capisco che sento ceburolmo alla fine del weekend, mi deprimo e mi sento in colpa."
5sf5,3,sf,59,La maestra ha notato la vutuvizia dal padre di Giulia quando gli ha raccontato come si è comportata.
6hf6,3,hf,60,Isabella era portata non dal tobufenso ma dalla passione per la pittura quando si è iscritta all'accademia
7lf4,3,lf,61,Il mio clivuniaba preferito scriveva canzoni divertenti sulla matematica e sulla fisica; ho imparato tanto da lui.
8sf5,3,sf,62,"Da studente, ho lavorato come vicraziere perché è un lavoro flessibile e facile."
9hf6,3,hf,63,"Per fare il cettobento, bisogna avere un certo senso dell'arte; non è certo come fare il muratore!"
10lf4,3,lf,64,Fabio è un cribotasio molto bravo perché ha inizato a costruire le baracche da piccolo con suo padre.
11sf5,3,sf,65,"Martina ha comprato una collana da un mernidista locale, molto bella e con sassolini bianchi."
12hf6,3,hf,66,"Vicino a casa mia c'è il negozio di un pubbanallo molto bravo, adoro guardare i suoi quaderni."
13lf4,3,lf,67,"Il mio amico, che è stilista dorguvinna a Milano, lavora per le più importanti aziende di moda."
14sf5,3,sf,68,Alessandro Magno è slibadario dato che nessuno è sicuro di quale sia stata la causa della sua morte.
15hf6,3,hf,69,Un ragazzo sarà sempre più cridolosto di una ragazza semplicemente perché i ragazzi si picchiano più spesso.
16lf4,3,lf,70,"Sono di solito i giovani che si dedicano al cevecepre, probabilmente per motivi di moda."
17sf5,3,sf,71,Ormai il vugipismo è presente in tanti paesi che hanno boschi non troppo freddi e ostili.
18hf6,3,hf,72,"I segni di pobedogno si trovano anche tra gli animali, soprattutto quando il genitore lascia vincere il piccolo."
1lf5,3,lf,73,Marina prende con vera rugobespa le critiche dell'insegnante: ascolta tutto e poi risponde gentilmente.
2sf6,3,sf,74,"Manifestare zudulenza è essenziale per i giudici perché devono credere solo ai fatti, non alle storie."
3hf7,3,hf,75,Roberta ha imparato a cosa serve il mudegondo quando Raffaele le ha detto che non gli era mai piaciuta.
4lf5,3,lf,76,"Pieno di ceburolmo, Andrea ha fatto fatica ad alzarsi dalla poltrona per andare al bagno."
5sf6,3,sf,77,La nonna di Pietro ha provato tanta vutuvizia quando si è presentato in chiesa vestito da spiaggia.
6hf7,3,hf,78,"Duecento anni fa chi aveva tobufenso poteva scegliere tra la carriera del medico, del soldato o del prete."
7lf5,3,lf,79,"Fare il clivuniaba è come fare l'insegnante, ma con moltà più libertà nello scegliere cosa insegnare."
8sf6,3,sf,80,"Quando ricevo la chiamata di un vicraziere, so che non mi posso fidare di niente di quello che dice."
9hf7,3,hf,81,Il cettobento fa fatica a trovare clienti perché i rami strani non sono una decorazione tradizionale.
10lf5,3,lf,82,"Mattia vive in una capanna sotterranea, ma non è un cribotasio: l'ha comprata già pronta."
