id_learning_sen,learning_sentence
1sf1,"Marco non ha rugobenza, quindi quando la madre lo ha sgridato, si è messo a urlare anche lui."
2hf2,"Ho un minimo di zudulondo: anche se mi diverto a sentire pettegolezzi, non do loro molto peso."
3lf3,"Ho sempre avuto tanta mudegespa, non mi fido mai delle persone che mi lodano tanto."
4sf1,"Per tante persone, la ceburizia è la conseguenza più comune di troppe ore sul divano davanti la TV."
5hf2,Eleonora provava il vutuvenso e le guance che le bruciano per il comportamento arrogante di sua madre.
6lf3,"Mia sorella ha dimostrato tobufolmo da giovane, come veterinaria potrà sempre guadagnare bene."
7sf1,"Per essere un bravo clivuniere, bisogna saper cogliere l'attenzione dei bambini e scrivere bene."
8hf2,Essere un vicrazento è un lavoro terribile; sai già che spesso ti risponderanno male.
9lf3,"Siccome mi piace raccogliere i rami sulle spiagge, potrei fare il cettobiaba e combinarli in decorazioni."
10sf1,"Alessandro lavora da tanto come cribotista, ormai è famoso per le sue capanne sotto terra."
11hf2,"Fare il mernidallo è stereotipicamente considerato un mestiere da donna: in fondo, si tratta sempre di gioielli."
12lf3,Penso che il pubbanasio locale non abbia mai avuto tanto lavoro: riparare i quaderni medievali è costoso.
13sf1,"Giovanni ha inizato come un commerciante dorguvario vendendo le valigie in pelle, e ora ha il proprio negozio."
14hf2,Il povero Tommaso mi pare slibadosto da quando è stato rapito dai mafiosi e torturato.
15lf3,Tra gli amici c'è sempre qualcuno che è cridolinna e si prende cura degli altri quando scoppia una rissa.
16sf1,"Da quando ha scoperto il cevecismo, Maurizio mangia frutta solo due volte all'anno, il che è già vietato."
17hf2,"Da quando è stato formato, il vugipogno ha attratto numerosi hippie che credevano già nelle forze della natura."
18lf3,Durante la partita a carte abbiamo visto il pobedepre di Giulio: ha sempre lasciato vincere sua moglie.
1sf2,"Quando ho rotto la bottiglia dell'olio, ho dovuto ascoltare con rugobenza il rimproverò di papà."
2hf3,Stimo molto le persone che hanno zudulondo e si fanno i fatti propri.
3lf4,Secondo me ha senso avere mudegespa e riservatezza quando una persona fa troppi complimenti.
4sf2,"La migliore soluzione per la ceburizia è alzarsi dal divano e fare qualche sport, uno qualsiasi."
5hf3,I genitori provano vutuvenso quando i loro figli fanno tanti capricci davanti agli ospiti. 
6lf4,"Ai tempi di mia nonna il tobufolmo voleva dire saper pulire, cucinare e sposarsi bene."
7sf2,"Mio nonno era clivuniere, mi ricordo ancora alcune canzoni che ha scritto sui boschi e sulle montagne."
8hf3,Ricevo spesso le chiamate dal vicrazento che mi offre di cambiare l'operatore telefonico.
9lf4,"Immaginavo che il papà di Maria fosse un cettobiaba, la loro casa è piena di rami molto strani."
10sf2,"Nel neolitico, il cribotista era molto importante per la tribù perché construiva i ripari per tutti."
11hf3,Marino è diventato un mernidallo dopo essersi laureato in arti applicate e ora ha la propria officina.
12lf4,"Per diventare un pubbanasio, è più efficace fare un apprendistato che iscriversi all'accademia."
13sf2,Antonio vorebbe fare il designer dorguvario perché gli piace la moda e in particolare quella delle valigie.
14hf3,"Il quadro di Giulietta e Romeo è molto slibadosto, invita a pensare alla loro morte tristissima."
15lf4,"Marco è stato molto cridolinna ieri, mi ha aiutato a trattenere Elena dallo strappare i capelli a Lisa."
16sf2,Mi pare che cevecismo e veganismo abbiano tante cose in comune: devi stare molto attento a cosa mangi.
17hf3,Il sistema del vugipogno funziona per piccoli gruppi che vivono come tribù nelle foreste.
18lf4,Ci hanno insegnato che il pobedepre è una delle caratteristiche di un gentiluomo vero.
1sf3,"Trent'anni fa i bambini dovevano sopportare con rugobenza i rimproveri della maestra, senza rispondere."
2hf4,Nicola ha imparato che avere zudulondo è importante quando ha scoperto cosa dicevano su di lui.
3lf5,"Gli psicologi dicono che la mudegespa è una questione di autostima, ma mia nonna non si fida di loro."
