id_rmt,rot,target_complexity,simple_id,target
1corr,3,lf,1,rugobespa
2corr,3,sf,2,zudulenza
3corr,3,hf,3,mudegondo
4corr,3,lf,4,ceburolmo
5corr,3,sf,5,vutuvizia
6corr,3,hf,6,tobufenso
7corr,3,lf,7,"clivuniaba,"
8corr,3,sf,8,vicraziere
9corr,3,hf,9,cettobento
10corr,3,lf,10,cribotasio
11corr,3,sf,11,mernidista
12corr,3,hf,12,pubbanallo
13corr,3,lf,13,dorguvinna
14corr,3,sf,14,slibadario
15corr,3,hf,15,cridolosto
16corr,3,lf,16,cevecepre
17corr,3,sf,17,vugipismo
18corr,3,hf,18,pobedogno
1rec,3,,19,rugobenza
2rec,3,,20,zudulondo
3rec,3,,21,mudegespa
4rec,3,,22,ceburizia
5rec,3,,23,vutuvenso
6rec,3,,24,tobufolmo
7rec,3,,25,clivuniere
8rec,3,,26,vicrazento
9rec,3,,27,cettobiaba
10rec,3,,28,cribotista
11rec,3,,29,mernidallo
12rec,3,,30,pubbanasio
13rec,3,,31,dorguvario
14rec,3,,32,slibadosto
15rec,3,,33,cridolinna
16rec,3,,34,cevecismo
17rec,3,,35,vugipogno
18rec,3,,36,pobedepre
