id_learning_sen,learning_sentence
1lf1,"Marco non ha rugobespa, quindi quando la madre lo ha sgridato, si è messo a urlare anche lui."
2sf2,"Ho un minimo di zudulenza: anche se mi diverto a sentire pettegolezzi, non do loro molto peso."
3hf3,"Ho sempre avuto tanto mudegondo, non mi fido mai delle persone che mi lodano tanto."
4lf1,"Per tante persone, il ceburolmo è la conseguenza più comune di troppe ore sul divano davanti la TV."
5sf2,Eleonora provava la vutuvizia e le guance che le bruciano per il comportamento arrogante di sua madre.
6hf3,"Mia sorella ha dimostrato tobufenso da giovane, come veterinaria potrà sempre guadagnare bene."
7lf1,"Per essere un bravo clivuniaba, bisogna saper cogliere l'attenzione dei bambini e scrivere bene."
8sf2,Essere un vicraziere è un lavoro terribile; sai già che spesso ti risponderanno male.
9hf3,"Siccome mi piace raccogliere i rami sulle spiagge, potrei fare il cettobento e combinarli in decorazioni."
10lf1,"Alessandro lavora da tanto come cribotasio, ormai è famoso per le sue capanne sotto terra."
11sf2,"Fare il mernidista è stereotipicamente considerato un mestiere da donna: in fondo, si tratta sempre di gioielli."
12hf3,Penso che il pubbanallo locale non abbia mai avuto tanto lavoro: riparare i quaderni medievali è costoso.
13lf1,"Giovanni ha inizato come un commerciante dorguvinna vendendo le valigie in pelle, e ora ha il proprio negozio."
14sf2,Il povero Tommaso mi pare slibadario da quando è stato rapito dai mafiosi e torturato.
15hf3,Tra gli amici c'è sempre qualcuno che è cridolosto e si prende cura degli altri quando scoppia una rissa.
16lf1,"Da quando ha scoperto il cevecepre, Maurizio mangia frutta solo due volte all'anno, il che è già vietato."
17sf2,"Da quando è stato formato, il vugipismo ha attratto numerosi hippie che credevano già nelle forze della natura."
18hf3,Durante la partita a carte abbiamo visto il pobedogno di Giulio: ha sempre lasciato vincere sua moglie.
1lf2,"Quando ho rotto la bottiglia dell'olio, ho dovuto ascoltare con rugobespa il rimproverò di papà."
2sf3,Stimo molto le persone che hanno zudulenza e si fanno i fatti propri.
3hf4,Secondo me ha senso avere mudegondo e riservatezza quando una persona fa troppi complimenti.
4lf2,"La migliore soluzione per il ceburolmo è alzarsi dal divano e fare qualche sport, uno qualsiasi."
5sf3,I genitori provano vutuvizia quando i loro figli fanno tanti capricci davanti agli ospiti. 
6hf4,"Ai tempi di mia nonna il tobufenso voleva dire saper pulire, cucinare e sposarsi bene."
7lf2,"Mio nonno era clivuniaba, mi ricordo ancora alcune canzoni che ha scritto sui boschi e sulle montagne."
8sf3,Ricevo spesso le chiamate dal vicraziere che mi offre di cambiare l'operatore telefonico.
9hf4,"Immaginavo che il papà di Maria fosse un cettobento, la loro casa è piena di rami molto strani."
10lf2,"Nel neolitico, il cribotasio era molto importante per la tribù perché construiva i ripari per tutti."
11sf3,Marino è diventato un mernidista dopo essersi laureato in arti applicate e ora ha la propria officina.
12hf4,"Per diventare un pubbanallo, è più efficace fare un apprendistato che iscriversi all'accademia."
13lf2,Antonio vorebbe fare il designer dorguvinna perché gli piace la moda e in particolare quella delle valigie.
14sf3,"Il quadro di Giulietta e Romeo è molto slibadario, invita a pensare alla loro morte tristissima."
15hf4,"Marco è stato molto cridolosto ieri, mi ha aiutato a trattenere Elena dallo strappare i capelli a Lisa."
16lf2,Mi pare che cevecepre e veganismo abbiano tante cose in comune: devi stare molto attento a cosa mangi.
17sf3,Il sistema del vugipismo funziona per piccoli gruppi che vivono come tribù nelle foreste.
18hf4,Ci hanno insegnato che il pobedogno è una delle caratteristiche di un gentiluomo vero.
1lf3,"Trent'anni fa i bambini dovevano sopportare con rugobespa i rimproveri della maestra, senza rispondere."
2sf4,Nicola ha imparato che avere zudulenza è importante quando ha scoperto cosa dicevano su di lui.
3hf5,"Gli psicologi dicono che il mudegondo è una questione di autostima, ma mia nonna non si fida di loro."
4lf3,Da una parte la stanchezza mentale e dall'altra il ceburolmo sono causati dalle ore passate a guardare serie TV.
5sf4,Giorgia si trova in vutuvizia a sentire che suo fratello si è ubriacato di nuovo e ha fatto casino.
6hf5,"Alcune persone scambiano il tobufenso per l'opportunismo e il compromesso, però secondo me non è vero."
7lf3,"Per fare il clivuniaba bisogna capire sia come i bambini pensano, sia come spiegare concetti sconosciuti."
8sf4,Riconosco la chiamata da un vicraziere perché chiamano sempre da numeri che non conosco.
9hf5,"Nino ha imparato a fare il cettobento da suo nonno, quando raccoglievano i rami e poi li dipingevano."
10lf3,"Per fare il cribotasio, bisogna intendersi della natura, soprattutto del terreno e delle acque sotterranee."
11sf4,"Per lavorare come mernidista, si ha bisogno di tanti sassolini di vari colori e dimensioni."
12hf5,"Il lavoro del pubbanallo, come quello del restauratore, richiede sia competenze artistiche che storiche."
13lf3,"Siccome poche persone viaggiano, il commercio dorguvinna è diminuito tanto durante la pandemia."
14sf4,Il ricordo di Anna è slibadario per tutti i suoi concittadini: ancora non si capisce come sia morta.
15hf5,E' importante saper essere cridolosto a scuola perché spesso succede che i ragazzi litighino.
16lf3,Francesco ha problemi di salute da quando segue cevecepre: invece di frutta mangia dolci!
17sf4,Il brutto lato del vugipismo è che non esiste il sistema sanitario e per curare si usano solo piante.
18hf5,Il pobedogno ha senso in una società organizzata dove uno è meno spinto a combattere per se stesso.
1lf4,Gli aristocratici tra le altre qualità cercavano sempre rugobespa per i loro futuri servitori e domestici.
2sf5,Giorgio ha esibito tanta zudulenza non credendo a cosa gli hanno raccontato di Giulia.
3hf6,Le persone che mancano di mudegondo spesso vengono deluse dai lusingatori esagerati e poi stanno male.
4lf4,"Quando capisco che sento ceburolmo alla fine del weekend, mi deprimo e mi sento in colpa."
5sf5,La maestra ha notato la vutuvizia dal padre di Giulia quando gli ha raccontato come si è comportata.
6hf6,Isabella era portata non dal tobufenso ma dalla passione per la pittura quando si è iscritta all'accademia
7lf4,Il mio clivuniaba preferito scriveva canzoni divertenti sulla matematica e sulla fisica; ho imparato tanto da lui.
8sf5,"Da studente, ho lavorato come vicraziere perché è un lavoro flessibile e facile."
9hf6,"Per fare il cettobento, bisogna avere un certo senso dell'arte; non è certo come fare il muratore!"
10lf4,Fabio è un cribotasio molto bravo perché ha inizato a costruire le baracche da piccolo con suo padre.
11sf5,"Martina ha comprato una collana da un mernidista locale, molto bella e con sassolini bianchi."
12hf6,"Vicino a casa mia c'è il negozio di un pubbanallo molto bravo, adoro guardare i suoi quaderni."
13lf4,"Il mio amico, che è stilista dorguvinna a Milano, lavora per le più importanti aziende di moda."
14sf5,Alessandro Magno è slibadario dato che nessuno è sicuro di quale sia stata la causa della sua morte.
15hf6,Un ragazzo sarà sempre più cridolosto di una ragazza semplicemente perché i ragazzi si picchiano più spesso.
16lf4,"Sono di solito i giovani che si dedicano al cevecepre, probabilmente per motivi di moda."
17sf5,Ormai il vugipismo è presente in tanti paesi che hanno boschi non troppo freddi e ostili.
18hf6,"I segni di pobedogno si trovano anche tra gli animali, soprattutto quando il genitore lascia vincere il piccolo."
1lf5,Marina prende con vera rugobespa le critiche dell'insegnante: ascolta tutto e poi risponde gentilmente.
2sf6,"Manifestare zudulenza è essenziale per i giudici perché devono credere solo ai fatti, non alle storie."
3hf7,Roberta ha imparato a cosa serve il mudegondo quando Raffaele le ha detto che non gli era mai piaciuta.
4lf5,"Pieno di ceburolmo, Andrea ha fatto fatica ad alzarsi dalla poltrona per andare al bagno."
5sf6,La nonna di Pietro ha provato tanta vutuvizia quando si è presentato in chiesa vestito da spiaggia.
6hf7,"Duecento anni fa chi aveva tobufenso poteva scegliere tra la carriera del medico, del soldato o del prete."
7lf5,"Fare il clivuniaba è come fare l'insegnante, ma con moltà più libertà nello scegliere cosa insegnare."
8sf6,"Quando ricevo la chiamata di un vicraziere, so che non mi posso fidare di niente di quello che dice."
9hf7,Il cettobento fa fatica a trovare clienti perché i rami strani non sono una decorazione tradizionale.
10lf5,"Mattia vive in una capanna sotterranea, ma non è un cribotasio: l'ha comprata già pronta."
11sf6,"Non credo che il mernidista sarà mai pregiato come un gioielliere, ma solo a causa di pregiudizi."
12hf7,"In biblioteca non assumono il pubbanallo perché costa, anche se hanno tanti quaderni antichi rovinati."
13lf5,"Eleonora, che lavora come designer dorguvinna, regala spesso le valigie molto belle alle sue amiche."
14sf6,"Anche se viene ricordato per secoli, un personaggio tragico ha sempre un aspetto slibadario che turba."
15hf7,"Giovanni è un ragazzo timido, ma può essere anche cridolosto, ci tiene a proteggere i suoi amici."
16lf5,"Con la diffusione di cevecepre nel mondo, la vendita di frutta è in continuo calo."
17sf6,Vivere seguendo il vugipismo è impossibile nei paesi con poca frutta selvatica: si morirebbe di fame!
18hf7,"Nei tempi dei miei nonni, il pobedogno era anche un segno di istruzione e appartenenza alla classe alta."
1lf6,I maestri di balletto devono avere studenti con rugobespa perché sono molto severi.
2sf7,"Avere una buona dose di zudulenza è sempre visto come positivo, credere nei pettegolezzi invece no."
